id,architectureType,exteriorType,floorCount,heating,viewType,cooling,coolingType,fireplace,garage,garageType,heatingType,roofType,roomCount,unitCount,fireplaceType,foundationType,garageSpaces,pool,poolType,bathrooms,bedrooms,squareFootage
"6522-28th-Ave,-Kenosha,-WI-53143",Duplex Single,Aluminum / Vinyl Siding,2.0,True,unknown,True,Commercial,unknown,True,Detached,Hot Water,unknown,0.0,2.0,unknown,unknown,0.0,unknown,unknown,2.0,6.0,1848.0
"20422-W-Legend-Trl,-Buckeye,-AZ-85396",unknown,Stucco,1.0,True,unknown,unknown,unknown,unknown,True,Garage,unknown,Concrete,0.0,0.0,unknown,unknown,3.0,unknown,unknown,3.0,3.0,2566.0
"1041-Scaleybark-Rd,-Charlotte,-NC-28209",unknown,Brick Veneer,1.0,True,unknown,True,Central,True,True,Garage,Forced Air,Asphalt,0.0,1.0,Single,Raised,0.0,unknown,unknown,2.0,3.0,2484.0
"2352-Sw-5th-St,-Apt-16,-Miami,-FL-33135",unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown,0.0,unknown,unknown,0.0,0.0,0.0
"2301-S-Austin-Ave,-Ste-5,-Denison,-TX-75020",unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown,0.0,unknown,unknown,0.0,0.0,0.0
"51-Birdsong-Pkwy,-Orchard-Park,-NY-14127",Colonial,Aluminum / Vinyl Siding,2.0,True,unknown,True,Central,True,True,Attached,Central,unknown,11.0,1.0,unknown,unknown,0.0,unknown,unknown,2.5,4.0,3684.0
"113-Oak-Ave,-Bellmawr,-NJ-08031",unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown,0.0,unknown,unknown,1.0,2.0,720.0
"11875-Westview-Pkwy,-San-Diego,-CA-92126",Condo / Apartment,unknown,0.0,unknown,unknown,unknown,unknown,unknown,True,Garage,unknown,unknown,0.0,1.0,unknown,unknown,2.0,unknown,unknown,3.0,5.0,2322.0
"8715-Shadow-Crest-St,-Houston,-TX-77074",Traditional,Brick Veneer,1.0,True,unknown,True,Central,unknown,unknown,unknown,Central,unknown,6.0,1.0,unknown,Slab / Mat / Raft,0.0,unknown,unknown,3.0,4.0,1855.0
"4465-Boca-Way,-Spc-137,-Reno,-NV-89502",Mobile Home,unknown,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,1.0,unknown,unknown,0.0,unknown,unknown,0.0,0.0,0.0
"815-Kendall-St,-Port-Orchard,-WA-98366",Ranch,Wood Shingle,1.0,True,unknown,unknown,unknown,unknown,True,Detached,Forced Air,Composition Shingle,0.0,1.0,unknown,unknown,0.0,unknown,unknown,1.0,2.0,884.0
"7002-Lakeview-Dr,-Unit-101,-San-Antonio,-TX-78244",unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown,0.0,unknown,unknown,2.5,3.0,1324.0
"1009-Mechanic-St,-Bethlehem,-PA-18015",Other,Brick,2.0,True,unknown,unknown,unknown,unknown,unknown,unknown,Forced Air,unknown,8.0,1.0,unknown,unknown,0.0,unknown,unknown,3.0,3.0,2270.0
"3665-Whispering-Pines-Loop-S,-Delaware,-OH-43015",Conventional,Combination,2.0,True,unknown,True,Central,True,unknown,unknown,unknown,unknown,8.0,0.0,unknown,unknown,0.0,unknown,unknown,3.5,4.0,3456.0
