id,assessorID,legalDescription,ownerOccupied,yearBuilt,zoning,lotSize,propertyType,subdivision
"6522-28th-Ave,-Kenosha,-WI-53143",01-122-01-156-015,LOT 6 BLK 3 PUGH'S SUB PT OF NE 1/4 SEC 1 T 1 R 22 DOC#1316934 DOC#1810394 DOC#1882053,0.0,1916,M-1,6534.0,Duplex-Triplex,PUGHS SUB
"20422-W-Legend-Trl,-Buckeye,-AZ-85396",502-83-361,VERRADO PHASE 3 SOUTH PHASES A AND B MCR 1156-40,1.0,2018,PC,9952.0,Single Family,VERRADO PH3
"1041-Scaleybark-Rd,-Charlotte,-NC-28209",14918213,DIST:1 CITY/MUNI/TWP:CHARLOTTE MAP REF:BK 149 PG 18,1.0,1956,R-4,21683.0,Single Family,DILWORTH
"2352-Sw-5th-St,-Apt-16,-Miami,-FL-33135",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"2301-S-Austin-Ave,-Ste-5,-Denison,-TX-75020",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"51-Birdsong-Pkwy,-Orchard-Park,-NY-14127",146089 173.12-1-22,LOT:22.000 BLK:1 SEC:173.120 DIST:146089 CITY/MUNI/TWP:ORCHARD PARK (TOV) SUBD:HOLLAND LAND COMPANYS SURVEY,1.0,2005,R1,25700.0,Single Family,HOLLAND LAND COMPANYS SURVEY
"113-Oak-Ave,-Bellmawr,-NJ-08031",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"11875-Westview-Pkwy,-San-Diego,-CA-92126",318-570-21-05,PM18533 PAR 1*US 24PER DOC01-26283&UND INT IN,1.0,2001,R-1:SINGLE FAM-RES,82553.0,Condo,TAMPICO
"8715-Shadow-Crest-St,-Houston,-TX-77074",0872510000003,LT 3 BLK 15 BRAEBURN GLEN SEC 1,1.0,1958,unknown,7148.0,Single Family,BRAEBURN GLEN
"4465-Boca-Way,-Spc-137,-Reno,-NV-89502",021-624-39,DONNER SPRINGS MH LT 11 BLK D,1.0,1979,MF14,5271.0,Manufactured,DONNER SPRINGS MOBILE HOMES
"815-Kendall-St,-Port-Orchard,-WA-98366",4025-001-003-0008,"LOTS 3, 4 AND 5, AEGERTER'S SECOND ADDITION TO SIDNEY, ACCORDING TO PLAT RECORDED IN VOLUME 2 OF PLATS, PAGE 38, IN KITSAP",0.0,1940,CITY,9583.0,Single Family,AEGERTERS 2ND ADDN
"7002-Lakeview-Dr,-Unit-101,-San-Antonio,-TX-78244",unknown,unknown,0.0,2019,unknown,4008.0,Duplex-Triplex,unknown
"1009-Mechanic-St,-Bethlehem,-PA-18015",P6SE2A 15 7A      0204,CITY/MUNI/TWP:BETHLEHEM CITY,0.0,1900,RM,2396.0,Duplex-Triplex,PARK RDG
"3665-Whispering-Pines-Loop-S,-Delaware,-OH-43015",418-310-22-023-000,LOT 2464 THE PINES SEC 1 PH A,1.0,2019,unknown,13199.0,Single Family,THE PINES SEC 1 PH A
